nid,x,y,demand,ready_time,due_time,service_time,pid,did,time,drone
0,46.666666666666664,46.666666666666664,10,0.0,3598.0,10,0,0,1.0,1
1,25.333333333333332,70.0,-20.0,2690.0,3085.0,10,180,0,-1,0
2,66.66666666666667,3.3333333333333335,20.0,708.0,788.0,10,0,90,396.27415158914823,0
3,74.0,52.0,10.0,786.0,1417.0,10,0,44,211.56756275846968,0
4,64.0,41.333333333333336,-20.0,2541.0,3253.0,10,156,0,-1,1
5,81.33333333333333,7.333333333333333,30.0,1435.0,2570.0,10,0,83,478.7731104107102,1
6,62.666666666666664,12.0,30.0,57.0,940.0,10,0,29,0,1
7,40.0,59.333333333333336,-20.0,2255.0,3100.0,10,136,0,-1,0
8,44.666666666666664,82.0,-10.0,427.0,1546.0,10,119,0,-1,0
9,66.0,35.333333333333336,20.0,1815.0,1980.0,10,0,147,358.9593477073971,0
10,17.333333333333332,16.0,20.0,63.0,1274.0,10,0,182,0.6207963658054546,0
11,62.0,40.666666666666664,-20.0,2654.0,3325.0,10,186,0,-1,1
12,18.0,21.333333333333332,20.0,935.0,1642.0,10,0,130,401.24804328255277,1
13,16.666666666666668,20.666666666666668,20.0,1148.0,1245.0,10,0,32,139.69344415357608,0
14,65.33333333333333,24.0,10.0,2519.0,3464.0,10,0,36,270.4138650630865,0
15,67.33333333333333,45.333333333333336,10.0,672.0,1322.0,10,0,199,309.3598962508525,0
16,32.666666666666664,32.0,10.0,1058.0,1908.0,10,0,61,47.54196070986256,0
17,37.333333333333336,63.333333333333336,-10.0,2326.0,2834.0,10,117,0,-1,0
18,9.333333333333334,71.33333333333333,-30.0,691.0,1139.0,10,104,0,-1,0
19,65.33333333333333,30.666666666666668,-30.0,1903.0,2086.0,10,142,0,-1,0
20,87.33333333333333,2.6666666666666665,40.0,1349.0,2085.0,10,0,194,518.7881729932358,0
21,62.666666666666664,59.333333333333336,-10.0,2540.0,3210.0,10,163,0,-1,1
22,46.666666666666664,75.33333333333333,-10.0,1095.0,1666.0,10,167,0,-1,0
23,62.666666666666664,39.333333333333336,-20.0,2732.0,3433.0,10,116,0,-1,0
24,42.666666666666664,39.333333333333336,10.0,1915.0,2085.0,10,0,92,1388.8068550055593,0
25,74.66666666666667,2.0,10.0,958.0,1893.0,10,0,145,874.8827844430558,0
26,13.333333333333334,72.0,10.0,544.0,1094.0,10,0,37,241.94034729613094,1
