nid,x,y,demand,ready_time,due_time,service_time,pid,did,time,drone
0,66.66666666666667,66.66666666666667,20,0.0,765.0,10,0,0,1.0,0
1,89.33333333333333,4.0,-20.0,230.0,274.0,10,210,0,-1,0
2,42.0,38.666666666666664,20.0,55.0,111.0,10,0,108,0,0
3,42.666666666666664,34.666666666666664,20.0,133.0,219.0,10,0,348,55.56546587791199,1
4,92.66666666666667,4.666666666666667,20.0,100.0,194.0,10,0,114,6.007035771772102,1
5,73.33333333333333,5.333333333333333,-30.0,417.0,570.0,10,56,0,-1,0
6,52.666666666666664,128.66666666666666,30.0,136.0,272.0,10,0,358,24.703391914168805,1
7,53.333333333333336,126.66666666666667,-12.0,428.0,489.0,10,200,0,-1,0
8,105.33333333333333,54.0,-21.0,474.0,574.0,10,398,0,-1,0
9,40.0,102.0,11.0,74.0,150.0,10,0,371,10.913203448485941,0
10,94.0,5.333333333333333,20.0,100.0,183.0,10,0,111,5.419929537101189,0
11,8.666666666666666,54.0,30.0,131.0,195.0,10,0,208,5.588454707718546,0
12,45.333333333333336,76.66666666666667,-20.0,539.0,621.0,10,243,0,-1,0
13,100.66666666666667,88.0,6.0,143.0,217.0,10,0,66,42.776974796801014,0
14,58.666666666666664,95.33333333333333,-27.0,493.0,579.0,10,209,0,-1,0
15,10.666666666666666,56.0,20.0,141.0,236.0,10,0,418,6.3754270366612245,0
16,103.33333333333333,11.333333333333334,-17.0,99.0,224.0,10,55,0,-1,1
17,46.0,100.0,-10.0,527.0,631.0,10,289,0,-1,0
18,36.666666666666664,58.0,30.0,167.0,270.0,10,0,126,68.52266704290079,0
19,14.666666666666666,88.66666666666667,10.0,147.0,227.0,10,0,94,69.31803212779016,1
20,6.666666666666667,13.333333333333334,14.0,514.0,635.0,10,0,419,205.3856543990769,1
21,124.66666666666667,94.66666666666667,-20.0,96.0,168.0,10,171,0,-1,0
22,76.0,81.33333333333333,10.0,209.0,246.0,10,0,415,68.22130472017926,0
23,52.0,79.33333333333333,30.0,29.0,176.0,10,0,201,0,0
24,132.66666666666666,76.66666666666667,-20.0,100.0,174.0,10,264,0,-1,1
25,123.33333333333333,82.66666666666667,10.0,88.0,191.0,10,0,132,21.08015947187386,1
26,30.666666666666668,14.666666666666666,10.0,366.0,473.0,10,0,414,146.5919913221828,0
27,4.666666666666667,101.33333333333333,10.0,142.0,232.0,10,0,198,75.84999598889479,0
28,96.0,61.333333333333336,-19.0,478.0,574.0,10,369,0,-1,0
29,3.3333333333333335,108.0,26.0,113.0,172.0,10,0,122,22.529882026155047,0
30,131.33333333333334,75.33333333333333,20.0,97.0,197.0,10,0,260,11.61025464070455,0
31,126.0,63.333333333333336,10.0,90.0,208.0,10,0,205,13.434617416573706,0
32,56.0,78.66666666666667,20.0,39.0,186.0,10,0,363,0,0
33,18.666666666666668,51.333333333333336,-18.0,197.0,274.0,10,334,0,-1,0
34,70.0,17.333333333333332,-21.0,280.0,396.0,10,317,0,-1,0
35,75.33333333333333,66.66666666666667,-20.0,211.0,279.0,10,155,0,-1,0
36,92.66666666666667,64.66666666666667,-10.0,576.0,705.0,10,67,0,-1,0
37,95.33333333333333,119.33333333333333,-10.0,248.0,325.0,10,54,0,-1,1
38,74.0,126.0,3.0,468.0,568.0,10,0,399,286.72831908461694,0
39,79.33333333333333,24.666666666666668,20.0,128.0,237.0,10,0,181,60.532420017047215,0
40,58.0,127.33333333333333,10.0,91.0,167.0,10,0,59,1.8446233665052318,0
41,53.333333333333336,111.33333333333333,10.0,202.0,271.0,10,0,322,96.05329594123214,0
42,15.333333333333334,91.33333333333333,20.0,112.0,233.0,10,0,321,17.323329294126005,0
43,120.66666666666667,46.666666666666664,25.0,480.0,599.0,10,0,402,163.95285955510843,0
44,118.66666666666667,82.0,30.0,81.0,165.0,10,0,357,14.438424568073389,0
45,30.0,94.66666666666667,-20.0,424.0,541.0,10,96,0,-1,1
46,100.66666666666667,44.0,-11.0,61.0,128.0,10,121,0,-1,0
47,45.333333333333336,33.333333333333336,-10.0,82.0,221.0,10,141,0,-1,0
48,106.0,130.66666666666666,6.0,194.0,313.0,10,0,98,113.96488378854376,0
49,58.0,20.0,10.0,163.0,243.0,10,0,374,23.101487641777243,0
50,124.66666666666667,61.333333333333336,-20.0,101.0,146.0,10,189,0,-1,0
51,6.666666666666667,102.0,-20.0,107.0,164.0,10,263,0,-1,0
52,36.0,20.0,-29.0,124.0,206.0,10,118,0,-1,0
53,36.0,24.666666666666668,21.0,625.0,677.0,10,0,422,162.56332147235275,0
54,120.0,98.0,10.0,106.0,214.0,10,0,37,1.0739135668777935,0
55,102.66666666666667,39.333333333333336,17.0,67.0,170.0,10,0,16,4.288636740733465,0
56,62.0,8.666666666666666,30.0,90.0,231.0,10,0,5,13.747725723404923,0
57,25.333333333333332,126.66666666666667,10.0,109.0,200.0,10,0,246,38.00763252022829,0
58,69.33333333333333,58.666666666666664,-20.0,636.0,743.0,10,169,0,-1,0
59,52.0,112.66666666666667,-10.0,256.0,350.0,10,40,0,-1,1
60,84.66666666666667,95.33333333333333,7.0,524.0,589.0,10,0,273,353.43735894292627,0
61,16.0,87.33333333333333,31.0,278.0,369.0,10,0,160,156.85957527882587,0
62,54.666666666666664,129.33333333333334,10.0,146.0,236.0,10,0,167,75.98432402037173,0
63,110.0,78.0,10.0,103.0,162.0,10,0,83,22.201816634387992,0
64,15.333333333333334,117.33333333333333,20.0,340.0,396.0,10,0,401,241.1158463437121,0
65,36.666666666666664,16.0,-10.0,89.0,187.0,10,168,0,-1,1
66,98.66666666666667,104.66666666666667,-6.0,286.0,380.0,10,13,0,-1,0
67,124.0,60.666666666666664,10.0,86.0,185.0,10,0,36,23.850171762101688,0
68,17.333333333333332,92.0,10.0,151.0,255.0,10,0,257,46.39408429184194,0
69,52.0,122.66666666666667,-11.0,195.0,252.0,10,232,0,-1,1
70,110.0,120.66666666666667,22.0,103.0,161.0,10,0,175,25.264899092239474,0
71,7.333333333333333,100.66666666666667,20.0,102.0,171.0,10,0,79,12.366746862584897,0
72,68.66666666666667,44.0,-20.0,39.0,161.0,10,318,0,-1,0
73,125.33333333333333,83.33333333333333,10.0,91.0,204.0,10,0,187,15.500823282493034,0
74,131.33333333333334,93.33333333333333,10.0,104.0,182.0,10,0,351,1.3926475940379905,0
75,66.66666666666667,46.666666666666664,30.0,30.0,142.0,10,0,370,0,0
76,55.333333333333336,78.66666666666667,20.0,46.0,157.0,10,0,193,0,0
77,44.0,38.666666666666664,20.0,179.0,249.0,10,0,159,117.04380659471826,0
78,55.333333333333336,125.33333333333333,30.0,89.0,147.0,10,0,135,25.39654520022445,0
79,8.0,102.66666666666667,-20.0,103.0,241.0,10,71,0,-1,1
80,105.33333333333333,13.333333333333334,-9.0,526.0,649.0,10,244,0,-1,1
81,107.33333333333333,105.33333333333333,-20.0,348.0,469.0,10,304,0,-1,0
82,27.333333333333332,124.0,-13.0,104.0,216.0,10,162,0,-1,1
83,108.0,108.0,-10.0,329.0,387.0,10,63,0,-1,1
84,59.333333333333336,117.33333333333333,-26.0,409.0,475.0,10,153,0,-1,0
85,57.333333333333336,46.0,14.0,142.0,240.0,10,0,403,78.69848487697446,1
86,13.333333333333334,48.0,-10.0,200.0,333.0,10,341,0,-1,0
87,27.333333333333332,121.33333333333333,-16.0,101.0,161.0,10,100,0,-1,1
88,118.66666666666667,98.0,-13.0,102.0,242.0,10,368,0,-1,0
89,93.33333333333333,7.333333333333333,10.0,97.0,179.0,10,0,291,3.949074671140922,0
90,40.0,34.0,20.0,63.0,162.0,10,0,180,1.091887990547861,0
91,66.66666666666667,4.0,30.0,94.0,181.0,10,0,324,7.631756030835557,0
92,12.0,59.333333333333336,-20.0,82.0,161.0,10,396,0,-1,0
93,56.666666666666664,73.33333333333333,10.0,18.0,71.0,10,0,262,0,0
94,24.666666666666668,97.33333333333333,-10.0,276.0,374.0,10,19,0,-1,0
95,120.66666666666667,59.333333333333336,10.0,81.0,147.0,10,0,149,19.060671126359868,0
96,17.333333333333332,98.0,20.0,87.0,225.0,10,0,45,21.074150872894176,0
97,34.666666666666664,25.333333333333332,30.0,78.0,105.0,10,0,154,9.777365401854752,0
98,87.33333333333333,90.66666666666667,-6.0,611.0,680.0,10,48,0,-1,1
99,30.666666666666668,87.33333333333333,-30.0,315.0,396.0,10,333,0,-1,0
100,23.333333333333332,106.66666666666667,16.0,88.0,181.0,10,0,87,3.707002278373697,1
101,124.66666666666667,64.66666666666667,10.0,136.0,252.0,10,0,158,3.950420388327077,0
102,114.66666666666667,119.33333333333333,-10.0,529.0,624.0,10,274,0,-1,0
103,104.0,62.0,-22.0,395.0,477.0,10,250,0,-1,1
104,56.666666666666664,109.33333333333333,23.0,65.0,125.0,10,0,420,3.96656610955334,0
105,11.333333333333334,21.333333333333332,-20.0,437.0,535.0,10,196,0,-1,0
106,116.66666666666667,40.0,-13.0,85.0,201.0,10,252,0,-1,0
107,54.666666666666664,32.0,8.0,66.0,144.0,10,0,219,3.146996867783772,0
108,41.333333333333336,33.333333333333336,-20.0,88.0,153.0,10,2,0,-1,0
109,91.33333333333333,0.6666666666666666,10.0,174.0,251.0,10,0,206,16.7835246993222,0
110,93.33333333333333,2.6666666666666665,10.0,133.0,159.0,10,0,195,49.24628891308608,0
111,95.33333333333333,0.0,-20.0,142.0,251.0,10,10,0,-1,0
112,132.0,88.0,-20.0,125.0,212.0,10,326,0,-1,0
113,16.666666666666668,97.33333333333333,30.0,89.0,154.0,10,0,220,13.294474303975917,0
114,91.33333333333333,6.666666666666667,-20.0,443.0,467.0,10,4,0,-1,0
115,10.0,58.666666666666664,10.0,85.0,206.0,10,0,267,16.832121832354687,0
116,25.333333333333332,122.0,10.0,293.0,354.0,10,0,225,177.29566985160818,0
117,80.66666666666667,32.0,-10.0,263.0,334.0,10,288,0,-1,0
118,41.333333333333336,10.0,29.0,93.0,185.0,10,0,52,4.375299377025348,0
119,12.666666666666666,25.333333333333332,-50.0,418.0,521.0,10,226,0,-1,0
120,96.0,39.333333333333336,18.0,383.0,530.0,10,0,376,165.06339079249895,1
121,83.33333333333333,52.0,11.0,33.0,99.0,10,0,46,0,1
122,8.0,104.0,-26.0,130.0,191.0,10,29,0,-1,0
123,35.333333333333336,19.333333333333332,-20.0,108.0,198.0,10,224,0,-1,0
124,14.666666666666666,40.666666666666664,17.0,240.0,331.0,10,0,231,16.413544149653166,0
125,106.0,80.66666666666667,-30.0,148.0,201.0,10,255,0,-1,1
126,39.333333333333336,55.333333333333336,-30.0,223.0,261.0,10,18,0,-1,0
